iter	Logloss
0	0.6794878215
1	0.6671395993
2	0.6549755653
3	0.6444165066
4	0.6372580896
5	0.6281852955
6	0.6211530168
7	0.6130445505
8	0.6054837797
9	0.6011005044
10	0.5952526737
11	0.5887239162
12	0.5826733269
13	0.5780470838
14	0.5748640782
15	0.5711522241
16	0.5664411114
17	0.5634312139
18	0.5606151944
19	0.5582587309
20	0.5558588238
21	0.5534312189
22	0.5512370145
23	0.5494024205
24	0.5476333803
25	0.5456081108
26	0.5438367343
27	0.5421799576
28	0.539356542
29	0.5379998235
30	0.5363557827
31	0.5351440874
32	0.5335489624
33	0.531099921
34	0.5299672714
35	0.5286741818
36	0.527608757
37	0.5266089513
38	0.5257530665
39	0.5246047804
40	0.5236930892
41	0.5219075294
42	0.5210730289
43	0.520175821
44	0.5194225766
45	0.5186393881
46	0.5178172652
47	0.5170488379
48	0.5164331231
49	0.5158446002
50	0.5151442444
51	0.5146208621
52	0.5138609419
53	0.5132024277
54	0.5118959023
55	0.5114194423
56	0.5108446266
57	0.5100585739
58	0.5092228859
59	0.5087869292
60	0.5084257563
61	0.5074380748
62	0.5070003647
63	0.5066587072
64	0.5063628409
65	0.5060291675
66	0.5057059139
67	0.5051176659
68	0.5048202758
69	0.504528096
70	0.5042128723
71	0.5039949574
72	0.5036081938
73	0.5033287913
74	0.5030897782
75	0.5027777532
76	0.5020340975
77	0.5018465097
78	0.5016178885
79	0.5011946287
80	0.5009917752
81	0.500879875
82	0.5006486677
83	0.5004121409
84	0.5002273074
85	0.4999764293
86	0.4997718207
87	0.4996203329
88	0.4993763964
89	0.4989800368
90	0.4988302124
91	0.4986887099
92	0.4984160976
93	0.4983448761
94	0.4981627153
95	0.4980203388
96	0.4978339948
97	0.4973953129
98	0.4970013699
99	0.4969353586
100	0.4968207143
101	0.4964764478
102	0.4962508685
103	0.496161316
104	0.4961227236
105	0.4960190905
106	0.495652069
107	0.4955665967
108	0.4952384796
109	0.4951707317
110	0.4950631523
111	0.4949442061
112	0.4948731913
113	0.4948050213
114	0.4945056155
115	0.494402821
116	0.4943242924
117	0.4942401323
118	0.4941429182
119	0.4940756577
120	0.4938451768
121	0.4937384971
122	0.4936785471
123	0.4935926653
124	0.4935296596
125	0.4934134155
126	0.4932294111
127	0.4930023077
128	0.4928235585
129	0.4927530741
130	0.4926741179
131	0.4926594762
132	0.4925985436
133	0.4925199827
134	0.4924474261
135	0.4924035274
136	0.4923458305
137	0.4923018697
138	0.4922362292
139	0.4921491898
140	0.4920730423
141	0.4920364565
142	0.4919796143
143	0.4919080666
144	0.4918352602
145	0.4917706577
146	0.4917025405
147	0.4916745226
148	0.4916464746
149	0.491604554
150	0.4915714279
151	0.4915237509
152	0.4914903914
153	0.4914512101
154	0.4914132192
155	0.4913727093
156	0.491325532
157	0.4912820828
158	0.4912483732
159	0.491214792
160	0.4912070623
161	0.4911488972
162	0.4911129483
163	0.4909754854
164	0.4909552372
165	0.4909199557
166	0.4908770615
167	0.4908525106
168	0.4908174344
169	0.4907790539
170	0.4907309514
171	0.4907019198
172	0.4905780058
173	0.4905636941
174	0.4905399503
175	0.4905115081
176	0.4904821218
177	0.4904253563
178	0.4903812972
179	0.4903536853
180	0.4903162903
181	0.4902903092
182	0.4901804311
183	0.4901603634
184	0.4901355569
185	0.4901025933
186	0.4900784678
187	0.4900471692
188	0.489970045
189	0.4899474155
190	0.4899256531
191	0.4898921914
192	0.4898474328
193	0.4898009974
194	0.4897680673
195	0.4897429834
196	0.4897167045
197	0.4896975388
198	0.4896690306
199	0.4896071628
200	0.4895852726
201	0.4895572213
202	0.4895269158
203	0.4895087041
204	0.4894886918
205	0.4894519648
206	0.489375253
207	0.4893484635
208	0.4893041533
209	0.4892804758
210	0.4892655263
211	0.48923905
212	0.4892215001
213	0.489196337
214	0.4891815668
215	0.4891593327
216	0.4891325377
217	0.4891199848
218	0.489094252
219	0.4890626919
220	0.4890415804
221	0.4890084156
222	0.4889912652
223	0.4889770491
224	0.4889420058
225	0.4889348372
226	0.4889089323
227	0.4888840159
228	0.4888705307
229	0.488853625
230	0.4887804287
231	0.4887591385
232	0.4887577608
233	0.4887426494
234	0.4887290793
235	0.4887194136
236	0.488703852
237	0.4886728737
238	0.4886668249
239	0.4886538002
240	0.4886459908
241	0.4886367832
242	0.4886177423
243	0.4885956643
244	0.4885922747
245	0.4885704091
246	0.4885533972
247	0.488537735
248	0.4885231155
249	0.4884953169
250	0.4884706498
251	0.4884601955
252	0.4884461715
253	0.4884324893
254	0.4884230615
255	0.4883999189
256	0.4883825716
257	0.4883569298
258	0.4883430702
259	0.4883300722
260	0.4883130828
261	0.488300138
262	0.4882857288
263	0.4882716372
264	0.4882572199
265	0.4882353356
266	0.488214585
267	0.4881975056
268	0.4881846516
269	0.4881725753
270	0.4881360294
271	0.4881195928
272	0.4880984893
273	0.4880877134
274	0.4880748403
275	0.4880587538
276	0.4880360035
277	0.4880268028
278	0.4880074781
279	0.4879858912
280	0.4879825731
281	0.4879758264
282	0.4879634023
283	0.4879486926
284	0.4879368089
285	0.4879048479
286	0.4878996625
287	0.4878908256
288	0.4878723577
289	0.4878526916
290	0.4878344013
291	0.4877872741
292	0.4877672559
293	0.4877672555
294	0.4877606105
295	0.4877418477
296	0.4877318491
297	0.4877248926
298	0.4876988599
299	0.4876928467
300	0.4876776311
301	0.4876619832
302	0.4876533527
303	0.487641161
304	0.4876330798
305	0.4876090402
306	0.4875994076
307	0.4875823701
308	0.4875715951
309	0.4875144639
310	0.4875090899
311	0.4875073499
312	0.4874936913
313	0.4874857577
314	0.4874785723
315	0.4874580712
316	0.4874341996
317	0.4874209441
318	0.4874109885
319	0.4873982518
320	0.4873870926
321	0.4873750285
322	0.4873311977
323	0.4873185385
324	0.4873118144
325	0.4873033204
326	0.4872913087
327	0.4872805302
328	0.4872702965
329	0.4872657356
330	0.4872558463
331	0.4872344443
332	0.4872211418
333	0.4872111507
334	0.4872008889
335	0.4871776181
336	0.48716877
337	0.4871630792
338	0.4871482316
339	0.4871450697
340	0.4871328434
341	0.4871328433
342	0.4871103693
343	0.4870975239
344	0.487062692
345	0.4870581927
346	0.4870535577
347	0.4870431678
348	0.4870254316
349	0.4870189308
350	0.4870138244
351	0.4869978252
352	0.4869918372
353	0.4869905315
354	0.4869846933
355	0.4869717871
356	0.4869648224
357	0.4869584529
358	0.4869472606
359	0.4869277459
360	0.4869151763
361	0.486903012
362	0.4868900666
363	0.4868837668
364	0.4868727458
365	0.4868562149
366	0.4868463451
367	0.4868433233
368	0.4868331712
369	0.4868160682
370	0.4867692238
371	0.4867625294
372	0.4867503566
373	0.4867349502
374	0.4867253507
375	0.4867237589
376	0.4867118181
377	0.4867011112
378	0.4866872127
379	0.4866789403
380	0.4866719655
381	0.4866625535
382	0.4866540749
383	0.4866418657
384	0.4866263432
385	0.4866200284
386	0.4866127456
387	0.4865992775
388	0.4865922301
